"Time"	"Account ID"	"Side"	"Symbol ID"	"ISIN"	"Type"	"Price"	"Currency"	"Quantity"	"Commission"	"Commission Currency"	"P&L"	"Traded Volume"	"Order Id"	"Order pos"	"Value Date"	"Unique Transaction Identifier (UTI)"	"Trade type"
"388129354"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-26 17:37:59"	"-0.1"	"USD"	"-0.1"	"None"	"e5190871-9b6d-4d8a-974d-dd09fdd424b4"	"None"
"388129353"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-26 17:37:59"	"-375.0"	"USD"	"-376.4"	"None"	"dd8ad962-e139-42d2-a5f6-72f29416a5b0"	"None"
"388129352"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-26 17:37:59"	"5"	"SCHD.ARCA"	"376.4"	"None"	"86cfb947-b2fc-4e13-9ff9-7694c3d672a1"	"None"
"387960581"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-26 14:02:53"	"-0.1"	"USD"	"-0.1"	"None"	"0112e852-7567-4a83-8e45-1a1146a504e5"	"None"
"387960580"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-26 14:02:53"	"-380.25"	"USD"	"-379.22"	"None"	"d587d06a-c19b-42c7-95c4-48877a0acf91"	"None"
"387960579"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-26 14:02:53"	"5"	"SCHD.ARCA"	"379.22"	"None"	"c3849455-c7d8-4952-8b9f-d4bb3a4ffc09"	"None"
"387337887"	"AMD0000.001"	"SCHD.ARCA"	"None"	"COMMISSION"	"2022-08-24 12:36:07"	"-0.1"	"USD"	"-0.1"	"None"	"0e4dba66-877b-423f-bf67-cd686ea1a3ac"	"None"
"387337886"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TRADE"	"2022-08-24 12:36:07"	"-378.95"	"USD"	"-381.67"	"None"	"5fe1a589-f678-4ec3-85c8-cc98292e6b66"	"None"
"387337885"	"AMD0000.001"	"SCHD.ARCA"	"US8085247976"	"TRADE"	"2022-08-24 12:36:07"	"5"	"SCHD.ARCA"	"381.67"	"None"	"2163fa3e-5ceb-416f-b0eb-0419bffccab7"	"None"
"387336654"	"AMD0000.001"	"GOVT.BATS"	"None"	"COMMISSION"	"2022-08-24 12:13:40"	"-0.74"	"USD"	"-0.75"	"None"	"68ed9dee-f83a-4fc5-994a-4bcf2d8e4cf2"	"None"
"387336653"	"AMD0000.001"	"GOVT.BATS"	"None"	"TRADE"	"2022-08-24 12:13:40"	"878.38"	"USD"	"884.59"	"None"	"1a7b6443-513b-4080-9a3d-18937ab497b8"	"None"
"387336652"	"AMD0000.001"	"GOVT.BATS"	"US46429B2676"	"TRADE"	"2022-08-24 12:13:40"	"-37"	"GOVT.BATS"	"-884.59"	"None"	"b76f4045-cb83-4cd8-986e-e42b93e261e8"	"None"
"387330032"	"AMD0000.001"	"BND.NASDAQ"	"None"	"COMMISSION"	"2022-08-24 11:00:01"	"-0.2"	"USD"	"-0.2"	"None"	"06322c33-787d-4989-b77c-cba0b52e5137"	"None"
"387330031"	"AMD0000.001"	"BND.NASDAQ"	"None"	"TRADE"	"2022-08-24 11:00:01"	"750.0"	"USD"	"755.92"	"None"	"4e1cf416-20d1-4124-ba6f-91c6c92fb6dd"	"None"
"387330030"	"AMD0000.001"	"BND.NASDAQ"	"US9219378356"	"TRADE"	"2022-08-24 11:00:01"	"-10"	"BND.NASDAQ"	"-755.92"	"None"	"efd467c1-1941-426e-9cdb-42a37bcdf350"	"None"
"379931938"	"AMD0000.001"	"BND.NASDAQ"	"None"	"TAX"	"2022-08-01 13:30:02"	"-0.47"	"USD"	"-0.46"	"10 shares ExD 2022-08-01 PD 2022-08-04 dividend BND.NASDAQ 1.54 USD (0.153304 per share) tax -0.47 USD (-30.00%) DivCntry US"	"8f6d6f10-464a-42a4-b4f1-882690245fee"	"8af9795e-709f-4200-89dc-4483a900dacb"
"379931937"	"AMD0000.001"	"BND.NASDAQ"	"None"	"DIVIDEND"	"2022-08-01 13:30:02"	"1.54"	"USD"	"1.5"	"10 shares ExD 2022-08-01 PD 2022-08-04 dividend BND.NASDAQ 1.54 USD (0.153304 per share) tax -0.47 USD (-30.00%) DivCntry US"	"8af9795e-709f-4200-89dc-4483a900dacb"	"None"
"379930265"	"AMD0000.001"	"GOVT.BATS"	"None"	"TAX"	"2022-08-01 13:28:17"	"-0.42"	"USD"	"-0.41"	"37 shares ExD 2022-08-01 PD 2022-08-05 dividend GOVT.BATS 1.39 USD (0.037317 per share) tax -0.42 USD (-30.00%) DivCntry US"	"e73cfcf2-f755-4802-98a4-b220ea54b1bc"	"5a173cf4-e073-48cf-96f5-ad8dd570cb66"
"379930264"	"AMD0000.001"	"GOVT.BATS"	"None"	"DIVIDEND"	"2022-08-01 13:28:17"	"1.39"	"USD"	"1.36"	"37 shares ExD 2022-08-01 PD 2022-08-05 dividend GOVT.BATS 1.39 USD (0.037317 per share) tax -0.42 USD (-30.00%) DivCntry US"	"5a173cf4-e073-48cf-96f5-ad8dd570cb66"	"None"
"370525926"	"AMD0000.001"	"BND.NASDAQ"	"None"	"TAX"	"2022-07-01 14:13:52"	"-0.45"	"USD"	"-0.43"	"10 shares ExD 2022-07-01 PD 2022-07-07 dividend BND.NASDAQ 1.49 USD (0.148731 per share) tax -0.45 USD (-30.00%) DivCntry US"	"d98cb785-0165-4af6-8d92-745b1309d13e"	"204aada4-067d-473e-aade-c513c027fdd5"
"370525925"	"AMD0000.001"	"BND.NASDAQ"	"None"	"DIVIDEND"	"2022-07-01 14:13:51"	"1.49"	"USD"	"1.44"	"10 shares ExD 2022-07-01 PD 2022-07-07 dividend BND.NASDAQ 1.49 USD (0.148731 per share) tax -0.45 USD (-30.00%) DivCntry US"	"204aada4-067d-473e-aade-c513c027fdd5"	"None"
"370523125"	"AMD0000.001"	"GOVT.BATS"	"None"	"TAX"	"2022-07-01 14:12:34"	"-0.35"	"USD"	"-0.34"	"37 shares ExD 2022-07-01 PD 2022-07-08 dividend GOVT.BATS 1.15 USD (0.030976 per share) tax -0.35 USD (-30.00%) DivCntry US"	"76c834d6-932b-4af4-a227-1750edcdb4cf"	"685b6149-7be0-4d46-bf37-f9160add56c6"
"370523124"	"AMD0000.001"	"GOVT.BATS"	"None"	"DIVIDEND"	"2022-07-01 14:12:34"	"1.15"	"USD"	"1.11"	"37 shares ExD 2022-07-01 PD 2022-07-08 dividend GOVT.BATS 1.15 USD (0.030976 per share) tax -0.35 USD (-30.00%) DivCntry US"	"685b6149-7be0-4d46-bf37-f9160add56c6"	"None"
"370382488"	"AMD0000.001"	"None"	"None"	"TAX"	"2022-07-01 06:18:34"	"-11.34"	"USD"	"-10.84"	""	"b4dc2d4d-7423-4d28-ae7e-16e99e804569"	"None"
"367337751"	"AMD0000.001"	"SCHD.ARCA"	"None"	"TAX"	"2022-06-22 15:27:12"	"-29.14"	"USD"	"-27.51"	"138 shares ExD 2022-06-22 PD 2022-06-27 dividend SCHD.ARCA 97.13 USD (0.7038 per share) tax -29.14 USD (-30.00%) DivCntry US"	"81617eeb-7921-435a-8af0-5c7ee3a29f4f"	"d93dfac2-0abb-4a44-b14e-b1531c7edb65"
